Day_of_Week_and_Hour,cluster,Lat,Lon,Day_of_Month,Week_Number,Hour,nb_pickups
Tuesday_6_hrs,1,40.71066666666667,-74.01413333333333,1.0,14.0,6.0,3
Tuesday_6_hrs,0,40.784933333333335,-73.97523333333334,1.0,14.0,6.0,3
Tuesday_7_hrs,2,40.741099999999996,-74.002,1.0,14.0,7.0,3
Tuesday_7_hrs,3,40.7796,-73.94785,1.0,14.0,7.0,4
Tuesday_10_hrs,4,40.740224999999995,-73.991625,1.0,14.0,10.0,4
Tuesday_14_hrs,5,40.77353333333333,-73.9617,1.0,14.0,14.0,3
Tuesday_15_hrs,6,40.76314,-73.97502,1.0,14.0,15.0,5
Tuesday_16_hrs,7,40.76833333333334,-73.9677,1.0,14.0,16.0,3
Tuesday_17_hrs,8,40.75383846153846,-73.9772076923077,1.0,14.0,17.0,13
Tuesday_18_hrs,9,40.72446666666667,-73.9945,1.0,14.0,18.0,3
Tuesday_18_hrs,10,40.75544285714285,-73.98057142857144,1.0,14.0,18.0,7
Tuesday_19_hrs,11,40.723349999999996,-73.9987,1.0,14.0,19.0,4
Tuesday_19_hrs,12,40.7581875,-73.9722,1.0,14.0,19.0,8
Tuesday_20_hrs,13,40.71776666666667,-74.00633333333333,1.0,14.0,20.0,3
Tuesday_20_hrs,14,40.762966666666664,-73.97453333333333,1.0,14.0,20.0,3
Tuesday_21_hrs,15,40.754025,-73.981875,1.0,14.0,21.0,4
Tuesday_21_hrs,16,40.73663333333334,-73.98676666666667,1.0,14.0,21.0,3
Tuesday_22_hrs,17,40.72318571428571,-74.00757142857142,1.0,14.0,22.0,7
Wednesday_7_hrs,18,40.76926666666667,-73.95746666666666,2.0,14.0,7.0,3
Wednesday_8_hrs,19,40.76715,-73.95885,2.0,14.0,8.0,4
Wednesday_11_hrs,20,40.76095,-73.976675,2.0,14.0,11.0,4
Wednesday_13_hrs,21,40.72833333333333,-74.00586666666666,2.0,14.0,13.0,3
Wednesday_15_hrs,22,40.750099999999996,-73.985,2.0,14.0,15.0,6
Wednesday_16_hrs,24,40.742799999999995,-73.98899999999999,2.0,14.0,16.0,3
Wednesday_16_hrs,23,40.7628,-73.973075,2.0,14.0,16.0,4
Wednesday_16_hrs,25,40.7526,-73.97856666666667,2.0,14.0,16.0,3
Wednesday_17_hrs,26,40.7562,-73.98276,2.0,14.0,17.0,5
Wednesday_17_hrs,28,40.7413,-73.99060000000001,2.0,14.0,17.0,3
Wednesday_17_hrs,27,40.750074999999995,-74.0056,2.0,14.0,17.0,4
Wednesday_19_hrs,30,40.756877777777774,-73.97623333333334,2.0,14.0,19.0,9
Wednesday_19_hrs,29,40.73886,-73.99208,2.0,14.0,19.0,5
Wednesday_20_hrs,31,40.735875,-73.990475,2.0,14.0,20.0,4
Wednesday_20_hrs,32,40.75386666666667,-73.98551111111111,2.0,14.0,20.0,9
Wednesday_21_hrs,33,40.75948,-73.98688,2.0,14.0,21.0,5
Wednesday_22_hrs,34,40.74933333333333,-73.99666666666667,2.0,14.0,22.0,3
Wednesday_23_hrs,35,40.7554,-73.9905,2.0,14.0,23.0,3
Thursday_6_hrs,36,40.722975,-73.9942,3.0,14.0,6.0,4
Thursday_7_hrs,38,40.73055,-73.990325,3.0,14.0,7.0,4
Thursday_7_hrs,37,40.7754,-73.95916666666666,3.0,14.0,7.0,3
Thursday_8_hrs,40,40.75075,-73.983625,3.0,14.0,8.0,4
Thursday_8_hrs,39,40.72026666666667,-74.00126666666667,3.0,14.0,8.0,3
Thursday_10_hrs,41,40.74393333333333,-73.98856666666667,3.0,14.0,10.0,3
Thursday_12_hrs,42,40.751266666666666,-73.99126666666668,3.0,14.0,12.0,3
Thursday_12_hrs,43,40.70726666666667,-74.0088,3.0,14.0,12.0,3
Thursday_13_hrs,44,40.726275,-73.99705,3.0,14.0,13.0,4
Thursday_14_hrs,45,40.64245,-73.78697500000001,3.0,14.0,14.0,4
Thursday_14_hrs,46,40.740475,-73.9924,3.0,14.0,14.0,4
Thursday_15_hrs,47,40.749224999999996,-73.983125,3.0,14.0,15.0,4
Thursday_15_hrs,48,40.74406666666667,-74.00006666666667,3.0,14.0,15.0,3
Thursday_16_hrs,49,40.7231,-74.0032,3.0,14.0,16.0,4
