Day_of_Week_and_Hour,cluster,Lat,Lon,Day_of_Month,Week_Number,Hour,nb_pickups
Tuesday_0_hrs,9,40.7404,-73.99993333333333,5.666666666666667,14.666666666666666,0.0,3
Tuesday_0_hrs,10,40.7648,-73.98803333333333,12.666666666666666,15.666666666666666,0.0,3
Tuesday_1_hrs,9,40.74209999999999,-73.9925,15.0,16.0,1.0,2
Tuesday_4_hrs,13,40.79025,-73.9598,8.0,15.0,4.0,2
Tuesday_4_hrs,1,40.723200000000006,-74.0031,4.5,14.5,4.0,2
Tuesday_5_hrs,1,40.7244,-73.9842,22.0,17.0,5.0,6
Tuesday_5_hrs,13,40.780483333333336,-73.95615,16.166666666666668,16.166666666666668,5.0,6
Tuesday_6_hrs,10,40.76837777777777,-73.98792222222222,15.0,16.0,6.0,9
Tuesday_6_hrs,19,40.71414285714286,-74.01362142857144,12.5,15.642857142857142,6.0,14
Tuesday_6_hrs,9,40.7410875,-73.9947375,12.375,15.625,6.0,16
Tuesday_6_hrs,16,40.676325,-73.975525,2.75,14.25,6.0,4
Tuesday_6_hrs,13,40.7787,-73.9655294117647,11.294117647058824,15.470588235294118,6.0,17
Tuesday_6_hrs,1,40.72935714285715,-73.98891428571429,15.0,16.0,6.0,7
Tuesday_7_hrs,9,40.74077333333333,-74.00036666666666,12.2,15.6,7.0,15
Tuesday_7_hrs,13,40.780161904761904,-73.95687142857143,12.666666666666666,15.666666666666666,7.0,21
Tuesday_7_hrs,1,40.72653043478261,-73.9920347826087,18.956521739130434,16.565217391304348,7.0,23
Tuesday_7_hrs,7,40.712450000000004,-73.9537,8.0,15.0,7.0,2
Tuesday_7_hrs,0,40.75666,-73.97398,10.8,15.4,7.0,10
Tuesday_8_hrs,19,40.7208,-74.00942500000001,9.75,15.25,8.0,4
Tuesday_8_hrs,0,40.75786,-73.97141,15.0,16.0,8.0,10
Tuesday_8_hrs,10,40.766666666666666,-73.98766666666667,18.88888888888889,16.555555555555557,8.0,9
Tuesday_8_hrs,13,40.775007692307696,-73.96122307692308,15.0,16.0,8.0,13
Tuesday_8_hrs,4,40.649249999999995,-73.9783,11.5,15.5,8.0,2
Tuesday_8_hrs,7,40.7199,-73.94940000000001,12.666666666666666,15.666666666666666,8.0,3
Tuesday_8_hrs,20,40.686099999999996,-73.94284999999999,11.5,15.5,8.0,2
Tuesday_8_hrs,1,40.726080952380954,-73.9928,19.666666666666668,16.666666666666668,8.0,21
Tuesday_9_hrs,0,40.75297142857143,-73.96697142857144,11.0,15.428571428571429,9.0,7
Tuesday_9_hrs,16,40.692325,-73.976275,11.5,15.5,9.0,4
Tuesday_9_hrs,1,40.72527692307692,-73.9919923076923,16.076923076923077,16.153846153846153,9.0,13
Tuesday_9_hrs,6,40.77276666666666,-73.87503333333332,15.0,16.0,9.0,3
Tuesday_9_hrs,10,40.76724,-73.98447999999999,17.8,16.4,9.0,5
Tuesday_9_hrs,9,40.74142857142857,-73.99725714285715,6.0,14.714285714285714,9.0,7
Tuesday_9_hrs,13,40.77556666666667,-73.9586,16.166666666666668,16.166666666666668,9.0,6
Tuesday_9_hrs,19,40.718133333333334,-74.0124,10.333333333333334,15.333333333333334,9.0,3
Tuesday_10_hrs,9,40.73983333333334,-73.99424444444445,7.222222222222222,14.88888888888889,10.0,9
Tuesday_10_hrs,13,40.77621818181819,-73.96727272727273,15.636363636363637,16.09090909090909,10.0,11
Tuesday_10_hrs,19,40.7193,-74.00995,8.0,15.0,10.0,2
Tuesday_11_hrs,13,40.78238,-73.96676,6.6,14.8,11.0,5
Tuesday_11_hrs,1,40.722325,-73.9906125,14.125,15.875,11.0,8
Tuesday_11_hrs,19,40.7145,-74.00815,8.0,15.0,11.0,4
Tuesday_11_hrs,9,40.74208,-73.99868000000001,15.0,16.0,11.0,10
Tuesday_11_hrs,0,40.75703,-73.9717,17.1,16.3,11.0,10
Tuesday_11_hrs,10,40.762299999999996,-73.98830000000001,11.5,15.5,11.0,4
Tuesday_12_hrs,13,40.7744125,-73.95785000000001,11.5,15.5,12.0,8
Tuesday_12_hrs,10,40.766149999999996,-73.9856,1.0,14.0,12.0,2
Tuesday_12_hrs,6,40.757733333333334,-73.86193333333334,15.0,16.0,12.0,3
Tuesday_12_hrs,9,40.7425,-73.99125,12.666666666666666,15.666666666666666,12.0,6
Tuesday_12_hrs,12,40.836200000000005,-73.9428,8.0,15.0,12.0,2
Tuesday_12_hrs,1,40.7257,-73.98977500000001,15.875,16.125,12.0,8
Tuesday_12_hrs,16,40.6822,-73.96825,4.5,14.5,12.0,2
Tuesday_13_hrs,12,40.802033333333334,-73.94096666666667,19.666666666666668,16.666666666666668,13.0,3
Tuesday_13_hrs,16,40.69316,-73.986,13.6,15.8,13.0,5
Tuesday_13_hrs,9,40.746599999999994,-73.99467692307692,15.538461538461538,16.076923076923077,13.0,13
Tuesday_13_hrs,2,40.646366666666665,-73.78543333333333,1.0,14.0,13.0,3
Tuesday_13_hrs,13,40.7749375,-73.95855,14.125,15.875,13.0,8
Tuesday_13_hrs,19,40.71215,-74.01168333333334,20.833333333333332,16.833333333333332,13.0,6
Tuesday_13_hrs,0,40.75651818181818,-73.97685454545454,16.90909090909091,16.272727272727273,13.0,11
Tuesday_13_hrs,3,40.887100000000004,-73.90776666666666,12.666666666666666,15.666666666666666,13.0,3
Tuesday_13_hrs,7,40.728425,-73.94355,16.75,16.25,13.0,4
Tuesday_13_hrs,1,40.72434,-73.99557999999999,15.0,16.0,13.0,5
Tuesday_14_hrs,13,40.77557,-73.96248,14.3,15.9,14.0,10
Tuesday_14_hrs,19,40.71018333333333,-74.01116666666667,13.833333333333334,15.833333333333334,14.0,6
Tuesday_14_hrs,0,40.75605333333333,-73.97800000000001,18.733333333333334,16.533333333333335,14.0,15
Tuesday_14_hrs,6,40.77125,-73.8671,1.0,14.0,14.0,2
Tuesday_14_hrs,1,40.725858333333335,-73.99768333333333,13.833333333333334,15.833333333333334,14.0,12
Tuesday_14_hrs,10,40.7655,-73.98407499999999,8.0,15.0,14.0,4
Tuesday_14_hrs,5,40.692949999999996,-74.1773,4.5,14.5,14.0,2
Tuesday_14_hrs,9,40.74337692307692,-73.9988,17.692307692307693,16.384615384615383,14.0,13
Tuesday_14_hrs,16,40.690866666666665,-73.9898,12.666666666666666,15.666666666666666,14.0,3
Tuesday_15_hrs,0,40.75653870967742,-73.97771612903226,18.161290322580644,16.451612903225808,15.0,31
Tuesday_15_hrs,13,40.7754,-73.96090000000001,14.533333333333333,15.933333333333334,15.0,15
Tuesday_15_hrs,9,40.741506666666666,-73.99889333333334,18.266666666666666,16.466666666666665,15.0,15
Tuesday_15_hrs,10,40.76519285714286,-73.98630714285714,21.0,16.857142857142858,15.0,14
Tuesday_15_hrs,1,40.72382,-73.99553999999999,16.4,16.2,15.0,10
Tuesday_15_hrs,6,40.771966666666664,-73.86813333333333,8.0,15.0,15.0,3
Tuesday_15_hrs,19,40.710877777777775,-74.01122222222222,18.88888888888889,16.555555555555557,15.0,9
Tuesday_15_hrs,16,40.68194,-73.98848000000001,16.4,16.2,15.0,5
Tuesday_16_hrs,1,40.72551666666667,-74.00184166666666,19.083333333333332,16.583333333333332,16.0,12
Tuesday_16_hrs,16,40.6802,-73.99095,1.0,14.0,16.0,2
Tuesday_16_hrs,13,40.77951176470589,-73.96167647058824,17.058823529411764,16.294117647058822,16.0,17
Tuesday_16_hrs,19,40.71194285714286,-74.00687857142857,13.0,15.714285714285714,16.0,14
